Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,RL_MULTILAYER_DISABLED,180,87674.9066,1.833,40290.2601,0.8423,127965.1667,2.6754,38851.1987,5.6347,138947.7538,20.152,177798.9525,25.7867,5.5872,53600,46619,0,6895,0,86,0,7307,4674,10192,8379,36101,33566,86.97574626865672,977965.8879998515,518703.9280000001,977965.8879998515,196284.4499999443,0.0,0.0,20.31015702038414,79.314,69.1175,53.1505,80.3774,564.1622,3.0495,3.1652,3.1652,4.8969,1.2242,556.1,3.0894,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,200,86354.6415,1.7833,33006.7665,0.6816,119361.4081,2.4649,65501.5601,5.3827,459557.9061,37.7646,525059.4662,43.1473,10.6352,59500,47237,0,12169,0,94,0,9566,2721,10934,9109,39000,35407,79.38991596638655,1062368.2119998473,698415.8440000009,1062368.2119998473,197266.49999992186,0.0,0.0,20.54105657117052,65.3313,58.8323,36.8143,66.336,613.5724,2.993,3.7264,3.7264,4.696,1.174,605.15,3.0258,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,100,54217.7546,1.882,8914.4618,0.3094,63132.2164,2.1914,7980.5078,5.2331,6490.3846,4.256,14470.8924,9.4891,2.5583,29800,28231,0,1525,0,44,0,3908,3459,6482,6169,19410,18603,94.73489932885906,360728.1039999699,166696.0240000006,360728.1039999699,119331.60000004432,0.0,0.0,21.381012142915893,72.5213,39.8118,33.5197,75.6666,321.9504,3.0662,1.8232,1.8232,3.107,0.7768,317.0201,3.1702,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,120,65920.6225,1.9531,15892.6348,0.4709,81813.2573,2.424,15734.4351,5.9759,19641.965,7.4599,35376.4001,13.4358,3.2208,35700,32993,0,2633,0,74,0,4858,3936,6877,6273,23965,22784,92.41736694677871,547652.2359999308,267427.5480000007,547652.2359999308,138500.30000003913,0.0,0.0,21.07665832257751,78.7755,46.4143,34.8057,81.6677,385.1578,3.0813,2.2542,2.2542,3.4056,0.8514,379.4981,3.1625,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,140,74382.3379,1.925,25501.392,0.66,99883.7299,2.585,21529.1511,5.6315,78567.2539,20.5512,100096.405,26.1827,4.7095,41700,37790,0,3823,0,87,0,5203,4054,7335,6506,29162,27230,90.62350119904077,704980.1279998912,364006.664,704980.1279998912,160994.5500000017,0.0,0.0,22.32706595175239,69.4646,57.4051,44.623,70.791,451.9093,3.1166,2.7889,2.7889,4.3758,1.0939,444.7446,3.1767,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,160,90994.0088,2.0597,30160.6931,0.6827,121154.7019,2.7424,18109.6677,4.194,36339.186,8.4157,54448.8537,12.6097,3.6209,47600,43142,0,4318,0,140,0,5769,4205,8960,7660,32871,31277,90.6344537815126,838243.3759998919,422629.3679999997,838243.3759998919,187878.0999999545,0.0,0.0,21.331843297117988,79.0918,56.4322,47.2457,80.6548,515.1619,3.1222,2.7587,2.7587,4.6392,1.1598,507.764,3.1735,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,180,101071.555,2.0384,34971.2671,0.7053,136042.8221,2.7437,22226.3616,4.396,47718.8154,9.4381,69945.177,13.8341,3.7699,53600,48453,0,5056,0,91,0,6101,4205,9974,8656,37525,35592,90.3973880597015,976679.8879998699,500381.79999999993,976679.8879998699,209260.84999990967,0.0,0.0,20.761986678001552,85.337,61.8483,45.4074,87.0333,565.5011,3.0568,3.0362,3.0362,4.4227,1.1057,558.0421,3.1002,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,200,117797.1692,2.1554,40205.8492,0.7357,158003.0184,2.891,27774.5171,4.6106,63119.3845,10.478,90893.9016,15.0886,4.102,59500,53334,0,6024,0,142,0,6515,4349,10304,8535,42681,40450,89.63697478991597,1173903.6119998652,617978.4479999996,1173903.6119998652,228104.94999987897,0.0,0.0,20.258777591460934,84.451,68.737,52.2024,85.6569,628.8666,3.0676,3.236,3.236,4.872,1.218,620.7586,3.1038,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,100,54710.4364,1.932,11575.3724,0.4088,66285.8087,2.3408,12527.8373,6.1141,20831.3776,10.1666,33359.215,16.2807,3.2814,29800,27672,0,2049,0,79,0,4357,3797,7145,6656,18298,17219,92.85906040268456,405638.2839999669,187895.31600000028,405638.2839999669,115601.65000004414,0.0,0.0,20.960327596962916,71.8355,41.6005,33.3201,74.9071,318.6405,3.0347,1.9404,1.9404,3.1006,0.7751,313.5996,3.136,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,120,66753.9908,1.9488,15468.4741,0.4516,82222.4649,2.4004,10405.9485,5.101,10676.2838,5.2335,21082.2323,10.3344,2.8463,35700,33591,0,2040,0,69,0,4371,3629,6375,5926,24954,24036,94.09243697478992,537014.9479999406,262063.58799999979,537014.9479999406,147811.30000001937,0.0,0.0,22.461474888526062,81.3569,50.0044,35.9163,84.3168,392.1578,3.1373,2.3636,2.3636,3.3841,0.846,386.41,3.2201,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,140,80629.0947,2.0448,20028.7511,0.5079,100657.8459,2.5527,13549.6734,4.695,25804.5657,8.9413,39354.2392,13.6363,3.3086,41700,38713,0,2886,0,101,0,5122,4015,7415,6606,29163,28092,92.8369304556355,670554.0719999112,338031.22400000086,670554.0719999112,162896.19999999736,0.0,0.0,21.908297270194197,81.5792,54.076,37.7015,83.996,439.0493,3.0279,2.4972,2.4972,3.4687,0.8672,433.0834,3.0935,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,160,91191.4262,2.0368,25179.3906,0.5624,116370.8168,2.5992,15869.7932,4.2926,25983.091,7.0282,41852.8842,11.3208,3.2645,47600,43815,0,3697,0,88,0,5115,3759,8255,7246,34230,32810,92.0483193277311,838439.1079998839,424929.18400000123,838439.1079998839,192973.34999994407,0.0,0.0,21.00093587565886,84.9567,60.3715,45.7309,86.8472,516.6081,3.131,2.8118,2.8118,4.2273,1.0568,509.5691,3.1848,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,180,104474.193,2.1008,32154.6721,0.6466,136628.8651,2.7474,23213.2204,4.7558,52228.2908,10.7003,75441.5112,15.4562,3.8833,53600,48583,0,4881,0,136,0,6044,4218,9138,7779,38418,36586,90.63992537313433,954592.5799998691,505060.3360000013,954592.5799998691,203826.7499999127,0.0,0.0,21.290704013528202,85.6876,60.7299,45.4048,87.4106,562.475,3.0404,2.9705,2.9705,4.4453,1.1113,555.0591,3.0837,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,200,115232.8586,2.0986,35654.747,0.6493,150887.6055,2.7479,23745.4146,4.0962,64870.8033,11.1904,88616.2179,15.2866,3.9452,59500,53561,0,5797,0,142,0,6758,4377,9452,8049,43290,41135,90.01848739495799,1127116.6639998688,604652.3000000009,1127116.6639998688,233187.74999987145,0.0,0.0,20.56505353147553,87.2192,65.2873,45.1635,88.8038,627.7448,3.0622,3.1835,3.1835,4.4059,1.1015,620.1553,3.1008,0,0,0,-1.0,[],[]
ALL,TEST,100,35079.6295,1.2576,30182.7165,1.0821,65262.346,2.3397,2150.4198,0.7609,12258.9649,4.3379,14409.3847,5.0989,2.5935,29800,26923,0,2826,0,51,0,7144,6394,14582,12688,8074,7841,90.34563758389261,667293.051999943,292046.39599999937,667293.051999943,130051.95000008184,0.0,0.0,11.664848767778384,29.9344,50.5947,49.5507,28.2823,344.3715,3.2797,2.2062,2.2062,4.3353,1.0838,337.8301,3.3783,0,0,0,-1.0,[],[]
ALL,TEST,120,45468.2029,1.4318,41554.5949,1.3086,87022.7978,2.7404,4725.5124,0.9284,33736.3827,6.628,38461.8951,7.5564,3.4057,35700,30533,0,5090,0,77,0,8027,6782,16169,12697,11504,11054,85.5266106442577,821408.4959999196,364054.5719999995,821408.4959999196,158670.49999999884,0.0,0.0,12.477108390186121,42.7244,53.5827,55.7627,41.8493,414.9778,3.3198,2.4021,2.4021,5.0533,1.2633,407.5224,3.396,0,0,0,-1.0,[],[]
ALL,TEST,140,53710.6013,1.5043,51142.7342,1.4324,104853.3355,2.9367,8076.2911,1.0929,57951.3682,7.8419,66027.6593,8.9347,3.9653,41700,34173,0,7390,0,137,0,8885,6905,18126,13321,14689,13947,81.94964028776978,999840.4919999061,454521.5479999995,999840.4919999061,181072.5999999453,0.0,0.0,12.490189870319357,54.4246,58.4402,59.4267,54.1386,468.8374,3.2334,2.5743,2.5743,5.2606,1.3151,461.0025,3.2929,0,0,0,-1.0,[],[]
ALL,TEST,160,64904.7879,1.6151,56547.0906,1.4071,121451.8785,3.0222,11469.6701,1.283,78607.015,8.7927,90076.6851,10.0757,4.3057,47600,38498,0,8940,0,162,0,9418,6986,18890,13237,19292,18275,80.8781512605042,1158990.7679998865,538965.7840000011,1158990.7679998865,210022.49999986586,0.0,0.0,13.356444012787291,64.3272,61.8284,63.7697,64.3765,537.4348,3.2572,2.7163,2.7163,5.6479,1.412,529.0706,3.3067,0,0,0,-1.0,[],[]
ALL,TEST,180,74950.3745,1.6774,60573.8856,1.3557,135524.2601,3.0331,13056.2616,1.2389,99842.9911,9.4737,112899.2527,10.7125,4.4987,53600,42855,0,10539,0,206,0,9518,6729,19551,12924,24531,23202,79.95335820895522,1339936.1239998746,634833.8920000027,1339936.1239998746,233239.9499998044,0.0,0.0,13.714745320771792,68.9383,63.6868,65.252,69.1234,593.0386,3.2056,2.8525,2.8525,5.8619,1.4655,584.3242,3.2462,0,0,0,-1.0,[],[]
ALL,TEST,200,85401.0407,1.7423,65076.7129,1.3276,150477.7537,3.0699,17347.4086,1.4239,128623.3043,10.5576,145970.7128,11.9815,4.8439,59500,47064,0,12183,0,253,0,9876,6681,20022,12431,29602,27952,79.09915966386555,1507607.8839998844,723122.456000001,1507607.8839998844,261780.64999973672,0.0,0.0,14.332579050253658,74.4043,66.2734,70.2179,74.6116,661.16,3.2252,2.9134,2.9134,6.2243,1.5561,652.0223,3.2601,0,0,0,-1.0,[],[]
ALL,RANDOM,100,22938.8685,1.4021,22106.0101,1.3512,45044.8786,2.7534,4213.6671,1.5729,19064.395,7.1162,23278.0621,8.6891,3.5886,29800,15613,0,2679,0,11508,0,3367,3225,13612,11219,12821,1169,52.39261744966443,276584.7039999711,93944.37600000028,276584.7039999711,106213.15000005519,0.0,0.0,16.016018498304177,20.8937,20.1849,40.8409,19.5757,217.5134,2.0716,0.8701,0.8701,3.5455,0.8864,213.0977,2.131,0,0,0,-1.0,[],[]
ALL,RANDOM,120,27786.4141,1.5462,28138.6009,1.5658,55925.0149,3.112,5751.47,1.6111,28105.6115,7.8727,33857.0815,9.4838,4.168,35700,17164,0,3570,0,14966,0,3815,3662,15003,11910,16882,1592,48.07843137254902,353907.49999995733,123681.22400000034,353907.49999995733,127756.00000007162,0.0,0.0,17.192989610687874,24.7864,22.2268,45.5335,23.6694,250.2991,2.0024,0.9727,0.9727,4.01,1.0025,245.3165,2.0443,0,0,0,-1.0,[],[]
ALL,RANDOM,140,28564.5651,1.487,31367.4155,1.633,59931.9806,3.12,6293.3464,1.4336,35637.1219,8.1178,41930.4683,9.5514,4.3164,41700,18102,0,4390,0,19208,0,4044,3816,16191,12398,21465,1888,43.410071942446045,434367.867999933,157252.48799999995,434367.867999933,142438.65000004123,0.0,0.0,18.385496582078613,21.9726,24.8002,47.9881,20.7001,268.663,1.8528,1.1031,1.1031,4.2475,1.0619,263.3124,1.8808,0,0,0,-1.0,[],[]
ALL,RANDOM,160,31917.736,1.5956,35796.8936,1.7896,67714.6297,3.3852,9179.8371,1.6931,47911.7339,8.8365,57091.5711,10.5296,4.9088,47600,18943,0,5422,0,23235,0,4287,4076,17238,12553,26075,2314,39.79621848739496,496191.6919999143,184495.6320000004,496191.6919999143,162380.69999998464,0.0,0.0,19.565332457758426,26.2327,25.9825,50.7981,25.2118,293.9091,1.7813,1.1622,1.1622,4.5306,1.1327,288.2163,1.8014,0,0,0,-1.0,[],[]
