Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,PYTHON_NEURAL_NET,100,50135.9345,1.9783,24609.1671,0.971,74745.1016,2.9493,30897.7745,5.8519,92504.4749,17.5198,123402.2494,23.3716,6.4705,29800,24350,55,5280,0,115,0,6335,4454,11508,10502,11902,9394,81.71140939597315,523067.875999963,299337.33999999973,523067.875999963,113757.40000006181,0.0,0.0,14.927230585544361,66.7411,26.0201,18.1486,70.6593,298.4089,2.842,1.7336,1.7336,2.3096,0.5774,294.3657,2.9437,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,120,61842.7971,2.2917,33809.7687,1.2529,95652.5658,3.5447,31785.2688,3.2863,208100.7488,21.5158,239886.0176,24.8021,9.1535,35700,25907,0,9672,0,121,0,9599,4422,10866,8974,15235,12511,72.56862745098039,961919.4799998885,672139.9239999987,961919.4799998885,136884.85000005746,0.0,0.0,16.281006610990385,46.8549,21.1912,11.982,49.1488,374.208,2.9937,2.5702,2.5702,2.9094,0.7273,368.7284,3.0727,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,140,76349.579,2.3963,40084.1184,1.2581,116433.6973,3.6544,49075.5518,4.5202,402040.0606,37.0305,451115.6124,41.5507,13.286,41700,30691,0,10857,0,152,0,8960,4790,12133,9451,20607,16450,73.59952038369305,1042141.8719998928,698350.4919999996,1042141.8719998928,145086.35000004419,0.0,0.0,18.51549535760671,50.1215,19.0223,13.5366,52.2338,415.7373,2.8672,2.2939,2.2939,3.2901,0.8225,410.1533,2.9297,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,160,78939.3311,2.2321,45103.7804,1.2753,124043.1115,3.5074,38137.0303,2.8015,316928.7059,23.2813,355065.7363,26.0828,9.7819,47600,33775,0,13613,0,212,0,10949,3759,13520,10214,23131,19802,70.95588235294117,1383858.3679999523,950304.1640000015,1383858.3679999523,187575.89999993105,0.0,0.0,16.9787241204388,47.8568,24.5301,14.6446,49.4836,501.9283,3.042,2.9799,2.9799,3.5419,0.8855,495.4065,3.0963,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,180,85136.5002,2.2046,32276.9576,0.8358,117413.4578,3.0404,102223.6719,6.4986,709256.2202,45.0894,811479.8921,51.588,17.0916,53600,37642,0,15730,0,228,0,9027,3643,9389,7713,35184,26286,70.2276119402985,1309032.4399999462,976700.3959999997,1309032.4399999462,174280.64999995902,0.0,0.0,24.62747641688943,57.8374,21.2189,9.8071,59.9553,507.5451,2.7435,2.5937,2.5937,2.3594,0.5898,502.592,2.7922,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,200,104230.1795,2.3416,38475.9303,0.8644,142706.1097,3.2059,117058.6384,7.2076,993194.2194,61.1535,1110252.8577,68.3611,20.6235,59500,43003,0,16241,0,256,0,8561,4476,12069,9325,38870,29202,72.27394957983194,1191218.5839999188,773441.867999999,1191218.5839999188,200437.44999988945,0.0,0.0,23.045878948304647,59.1656,18.502,13.2989,61.0334,570.9029,2.7849,2.2494,2.2494,3.2529,0.8132,565.4006,2.827,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,100,51131.4474,1.805,13244.7375,0.4676,64376.1849,2.2726,12275.5997,6.1073,15823.3343,7.8723,28098.934,13.9796,3.0483,29800,27724,0,2010,0,66,0,4492,3803,7616,7152,17692,16769,93.03355704697987,428936.6959999507,201556.08000000016,428936.6959999507,115084.85000004478,0.0,0.0,19.378695244803048,65.4403,44.8688,36.9222,67.6844,323.9607,3.0853,2.0303,2.0303,3.3492,0.8373,318.5812,3.1858,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,120,64242.7568,1.9029,19527.0696,0.5784,83769.8264,2.4813,15238.4363,6.0614,27185.5437,10.8137,42423.9801,16.8751,3.4788,35700,33114,0,2514,0,72,0,4886,4025,8138,7422,22676,21667,92.75630252100841,576586.2359999277,274538.5,576586.2359999277,140518.8000000384,0.0,0.0,20.383701604207083,70.3083,48.8542,41.4638,72.2088,394.4015,3.1552,2.3669,2.3669,4.0266,1.0067,388.0079,3.2334,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,140,69584.842,1.8202,29644.2066,0.7754,99229.0486,2.5956,20545.935,4.8954,67807.8915,16.1563,88353.8265,21.0517,4.4213,41700,37445,0,4197,0,58,0,5565,3872,8861,7797,27274,25776,89.79616306954436,728006.6439999015,370029.0240000006,728006.6439999015,158635.55000000328,0.0,0.0,20.492959267530583,72.1485,60.2469,45.3852,73.5646,449.0043,3.0966,2.7959,2.7959,4.1807,1.0452,442.0276,3.1573,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,160,79807.7478,1.9185,34689.6492,0.8339,114497.397,2.7523,33379.9565,4.8539,152619.8155,22.1928,185999.772,27.0466,6.1988,47600,40662,0,6877,0,61,0,7686,4067,9988,8617,29926,27978,85.42436974789916,814670.4719999055,449827.3399999994,814670.4719999055,176857.54999996859,0.0,0.0,20.00235772648108,71.6353,57.537,42.3994,73.0003,506.8855,3.072,3.0054,3.0054,4.4854,1.1213,499.3947,3.1212,0,0,0,-1.0,[],[]
