Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,RL_MULTILAYER_DISABLED,180,80916.3857,1.807,40418.8276,0.9026,121335.2133,2.7096,57958.6997,5.8367,267860.4984,26.9749,325819.1982,32.8116,8.1733,53600,43588,0,9930,0,82,0,9045,4135,10828,8965,33727,30488,81.32089552238806,945309.8919998585,543071.812,945309.8919998585,178331.2999999599,0.0,0.0,19.954579492710046,66.1917,57.7275,39.1837,67.2704,545.103,2.9465,3.2749,3.2749,4.4967,1.1242,537.3314,2.9852,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_DISABLED,200,84865.197,1.76,34363.5377,0.7127,119228.7347,2.4727,69773.8506,5.5877,490452.5625,39.2771,560226.4131,44.8648,11.1926,59500,46924,0,12487,0,89,0,8977,2553,10966,8564,39557,35807,78.86386554621849,979632.4759998295,631733.0800000002,979632.4759998295,192079.64999994193,0.0,0.0,20.03847680185199,62.6274,55.1157,40.4065,63.4307,614.8531,2.9993,3.4966,3.4966,5.2076,1.3019,606.1489,3.0307,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,100,52265.493,1.8363,10658.295,0.3745,62923.788,2.2108,12727.3975,7.0085,18348.3605,10.1037,31075.7579,17.1122,3.1045,29800,27935,0,1816,0,49,0,4049,3575,6382,5910,19369,18450,93.74161073825503,405841.44399996405,192763.39599999992,405841.44399996405,115070.00000004358,0.0,0.0,21.050343051676943,69.5912,43.584,35.6816,72.2853,322.3724,3.0702,1.9841,1.9841,3.2437,0.8109,317.1446,3.1714,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,120,67327.2691,1.9513,12380.1937,0.3588,79707.4628,2.3101,10335.5383,5.7935,8521.7097,4.7767,18857.2481,10.5702,2.7162,35700,33850,0,1784,0,66,0,4224,3703,6689,6253,24787,23894,94.81792717086834,509718.13999994495,242160.42000000062,509718.13999994495,145189.10000002873,0.0,0.0,21.654844304032462,78.6513,45.0018,37.4239,81.4091,390.1469,3.1212,2.1108,2.1108,3.5317,0.8829,384.5044,3.2042,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,140,80782.3464,2.0476,22179.8554,0.5622,102962.2019,2.6097,14288.5297,4.9458,20970.6329,7.2588,35259.1626,12.2046,3.2644,41700,38712,0,2889,0,99,0,4908,4014,8350,7369,28442,27329,92.83453237410072,681772.3479999155,328037.24400000036,681772.3479999155,165850.6999999898,0.0,0.0,22.092677335357525,71.7842,55.3076,44.9863,73.2564,447.1494,3.0838,2.5695,2.5695,4.1604,1.0401,440.4195,3.1459,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,160,88056.7614,2.0017,29428.1148,0.6689,117484.8762,2.6706,17972.0875,4.0642,52334.0237,11.8349,70306.1112,15.8992,3.8789,47600,43069,0,4422,0,109,0,5466,3506,8768,7602,33366,31961,90.48109243697479,822035.531999875,426962.3080000005,822035.531999875,189387.49999995527,0.0,0.0,21.40590313837734,82.7133,62.9504,45.6924,84.4617,515.7686,3.1259,2.971,2.971,4.2721,1.068,508.5255,3.1783,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,180,100315.6587,2.0066,30241.9989,0.6049,130557.6577,2.6115,22854.872,4.8452,43375.0269,9.1955,66229.8989,14.0407,3.5969,53600,48769,0,4717,0,114,0,5663,4039,8115,6932,39822,37798,90.98694029850746,919777.5119998509,477827.2199999998,919777.5119998509,208149.54999992647,0.0,0.0,21.856348232287946,88.5508,62.2315,44.7559,90.4165,564.4106,3.0509,2.9257,2.9257,4.2089,1.0522,557.276,3.096,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER_EMPTY,200,117186.5901,2.1342,35319.1057,0.6432,152505.6958,2.7775,32796.096,5.8502,85174.6061,15.1935,117970.702,21.0437,4.4696,59500,53747,0,5606,0,147,0,5670,3743,9032,7590,44798,42414,90.33109243697479,1059008.8679998314,553157.1479999999,1059008.8679998314,228108.69999987504,0.0,0.0,22.550339081053977,81.1276,62.9012,47.4527,82.402,623.9178,3.0435,3.0669,3.0669,4.6002,1.15,616.2507,3.0813,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,100,54624.7594,1.9143,10732.9918,0.3761,65357.7512,2.2904,10769.8061,6.2217,8001.2325,4.6223,18771.0385,10.844,2.7796,29800,27998,0,1731,0,71,0,4188,3596,6449,6052,19163,18350,93.95302013422818,396139.81999996345,186978.81999999937,396139.81999996345,116651.75000004523,0.0,0.0,20.91611403153096,72.9619,42.4734,33.5409,76.0982,321.064,3.0578,1.9472,1.9472,3.0907,0.7727,316.0261,3.1603,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,120,65119.1277,1.9215,15519.0414,0.4579,80638.1691,2.3794,12803.4783,4.9994,16122.874,6.2955,28926.3523,11.2949,3.0058,35700,33060,0,2561,0,79,0,4949,4001,7418,6832,23333,22227,92.60504201680672,523863.83199995273,257381.3880000002,523863.83199995273,143537.05000003113,0.0,0.0,20.19555337621344,82.1102,48.2222,35.5215,85.1691,385.9551,3.0876,2.2418,2.2418,3.2986,0.8246,380.4148,3.1701,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,140,77867.2648,1.9749,19667.7273,0.4988,97534.9921,2.4737,13993.3112,4.6274,20235.0839,6.6915,34228.3951,11.3189,3.1038,41700,38561,0,3024,0,115,0,4768,3781,8144,7210,28788,27570,92.47242206235012,669174.4079999264,331906.71199999977,669174.4079999264,164286.5499999982,0.0,0.0,21.05326182195426,83.0617,52.7356,38.1536,85.5613,440.7515,3.0397,2.5217,2.5217,3.5784,0.8946,434.6514,3.1047,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,160,90315.3368,2.0191,29351.2992,0.6562,119666.6361,2.6753,16619.6906,4.5409,32684.4119,8.9302,49304.1025,13.4711,3.4918,47600,43853,0,3660,0,87,0,5185,3926,7852,6779,34563,33148,92.1281512605042,817165.2319998761,410309.3519999987,817165.2319998761,192245.6999999467,0.0,0.0,21.584547796473768,79.1255,52.8207,42.0967,80.9424,519.1774,3.1465,2.7984,2.7984,4.4687,1.1172,511.9103,3.1994,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,180,105550.0885,2.1203,30644.166,0.6156,136194.2545,2.7359,20330.4951,4.1678,44509.3781,9.1245,64839.8732,13.2923,3.678,53600,48556,0,4878,0,166,0,5880,4180,9091,7632,38629,36744,90.58955223880596,954500.9879998754,500011.5640000002,954500.9879998754,206366.34999991578,0.0,0.0,20.966276409341354,85.3402,62.659,47.0378,86.9688,560.8817,3.0318,2.8855,2.8855,4.3322,1.083,553.6641,3.0759,0,0,0,-1.0,[],[]
ALL,RL_MULTILAYER,200,114240.6511,2.0959,36055.7753,0.6615,150296.4265,2.7573,28537.1878,4.6312,63726.2897,10.3418,92263.4775,14.973,3.998,59500,53192,0,6162,0,146,0,6762,4447,10094,8363,42644,40382,89.39831932773109,1102185.1399998672,569411.2559999997,1102185.1399998672,231280.0499998701,0.0,0.0,20.92652310339868,88.429,63.683,49.7464,89.9246,628.2098,3.0644,3.0535,3.0535,4.7805,1.1951,620.3758,3.1019,0,0,0,-1.0,[],[]
ALL,TEST,100,34933.9215,1.2476,31556.4375,1.1269,66490.359,2.3745,2078.4396,0.7471,11550.0643,4.1517,13628.5039,4.8988,2.6026,29800,26980,0,2782,0,38,0,7444,6735,15206,13300,7150,6945,90.53691275167785,664211.5159999497,287263.6960000006,664211.5159999497,130210.40000008207,0.0,0.0,10.786433054236673,29.326,49.9177,49.1902,27.6585,342.4452,3.2614,2.1661,2.1661,4.2806,1.0701,335.9985,3.36,0,0,0,-1.0,[],[]
ALL,TEST,120,44360.3559,1.389,39426.0525,1.2345,83786.4085,2.6234,4714.5126,0.9616,30864.8119,6.2951,35579.3245,7.2566,3.24,35700,30700,0,4903,0,97,0,7805,6543,15827,12569,12068,11588,85.99439775910363,844155.1119999217,378877.13199999946,844155.1119999217,158678.3000000051,0.0,0.0,12.555220527451358,42.0622,55.1409,55.8962,41.112,416.0489,3.3284,2.4471,2.4471,4.9893,1.2473,408.6124,3.4051,0,0,0,-1.0,[],[]
ALL,TEST,140,54400.3158,1.5089,50240.2096,1.3935,104640.5255,2.9025,8007.5267,1.1213,54797.5571,7.6737,62805.0838,8.795,3.8767,41700,34430,0,7141,0,129,0,8610,6663,17146,12597,15944,15170,82.56594724220624,1009033.287999897,460611.33200000064,1009033.287999897,181778.0499999397,0.0,0.0,13.004044905759041,53.494,57.5073,59.9497,53.1388,472.3547,3.2576,2.6601,2.6601,5.4769,1.3692,464.2176,3.3158,0,0,0,-1.0,[],[]
ALL,TEST,160,64306.6162,1.6014,58281.0997,1.4514,122587.7159,3.0528,10778.4504,1.194,84236.6199,9.3316,95015.0704,10.5257,4.4243,47600,38399,0,9027,0,174,0,9080,6585,18103,12516,20417,19298,80.6701680672269,1205840.4039998981,565515.3559999984,1205840.4039998981,209835.6499998674,0.0,0.0,13.039010248313451,61.2902,63.6994,66.2269,61.0594,544.2417,3.2984,2.8767,2.8767,5.9567,1.4892,535.4083,3.3463,0,0,0,-1.0,[],[]
ALL,TEST,180,75050.6165,1.6698,61102.4567,1.3595,136153.0732,3.0293,12765.6851,1.2301,95608.3111,9.2126,108373.9963,10.4427,4.4199,53600,43051,0,10378,0,171,0,9845,7062,19474,12984,24281,23005,80.31902985074628,1310834.4559998987,618129.5319999997,1310834.4559998987,233184.5999998035,0.0,0.0,13.745711794875445,69.3796,62.6787,65.7437,69.5763,591.597,3.1978,2.7436,2.7436,5.8228,1.4557,583.0306,3.2391,0,0,0,-1.0,[],[]
ALL,TEST,200,83403.2714,1.7314,68689.8104,1.4259,152093.0818,3.1573,17558.6115,1.3409,153065.7029,11.6889,170624.3144,13.0297,5.2674,59500,46165,0,13095,0,240,0,9612,6129,19954,11863,29934,28173,77.58823529411765,1546870.9319998736,745416.8439999995,1546870.9319998736,261070.84999974314,0.0,0.0,14.313269668573394,71.533,68.0283,71.4078,71.5664,668.5834,3.2614,3.0705,3.0705,6.4708,1.6177,659.0422,3.2952,0,0,0,-1.0,[],[]
ALL,RANDOM,100,22724.1692,1.3698,22052.1596,1.3292,44776.3288,2.699,4889.8881,1.7212,20080.9074,7.0683,24970.7955,8.7894,3.5895,29800,15833,0,2841,0,11126,0,3385,3258,13806,11277,12609,1298,53.130872483221474,277880.7879999742,94259.49600000006,277880.7879999742,106595.4500000555,0.0,0.0,15.803162482856496,20.6307,19.5965,40.1615,19.3459,221.4227,2.1088,0.8707,0.8707,3.6109,0.9027,216.9411,2.1694,0,0,0,-1.0,[],[]
ALL,RANDOM,120,25830.0176,1.432,27366.8198,1.5172,53196.8374,2.9492,5413.7361,1.582,26067.3159,7.6176,31481.052,9.1996,3.9458,35700,17259,0,3422,0,15019,0,3829,3655,15130,12134,16741,1470,48.34453781512605,362763.97199995763,128759.77199999987,362763.97199995763,126937.80000007318,0.0,0.0,17.036666139021225,21.2771,23.4536,44.7231,19.9443,248.7326,1.9899,1.0342,1.0342,3.955,0.9887,243.7435,2.0312,0,0,0,-1.0,[],[]
ALL,RANDOM,140,28698.6607,1.5027,32188.0046,1.6854,60886.6653,3.1881,6961.5372,1.5669,39263.355,8.8371,46224.8922,10.404,4.55,41700,18131,0,4443,0,19126,0,4142,3948,16129,12181,21429,2002,43.47961630695443,416343.11599994136,147990.47199999983,416343.11599994136,143614.05000003744,0.0,0.0,18.549979364195625,22.5126,23.5726,48.59,21.2582,274.0293,1.8899,1.0457,1.0457,4.3493,1.0873,268.6344,1.9188,0,0,0,-1.0,[],[]
ALL,RANDOM,160,31801.4275,1.5832,36270.5213,1.8057,68071.9487,3.3889,8610.363,1.6025,47638.5437,8.8663,56248.9067,10.4688,4.883,47600,19053,0,5373,0,23174,0,4336,4099,17357,12678,25907,2276,40.02731092436975,499459.4719999063,183149.0319999999,499459.4719999063,163079.39999998565,0.0,0.0,19.651515115764806,24.5145,25.8449,52.2641,23.3444,299.8362,1.8172,1.1543,1.1543,4.6868,1.1717,293.9951,1.8375,0,0,0,-1.0,[],[]
ALL,RANDOM,180,33029.0664,1.5927,39728.7079,1.9157,72757.7743,3.5084,10365.1313,1.6246,61652.6303,9.6634,72017.7616,11.2881,5.3387,53600,19540,0,6380,0,27680,0,4498,4229,18396,12752,30706,2559,36.45522388059702,546092.9959998933,204855.10799999934,546092.9959998933,177746.6499999398,0.0,0.0,20.563637707327477,23.8765,26.6366,54.2324,22.7266,314.7314,1.7013,1.1865,1.1865,4.8708,1.2177,308.6741,1.7149,0,0,0,-1.0,[],[]
ALL,RANDOM,200,36726.4212,1.7108,42935.3407,2,79661.7619,3.7107,10884.0163,1.5327,73592.2675,10.3636,84476.2838,11.8964,5.7453,59500,20280,0,7101,0,32119,0,4790,4527,18970,12695,35740,3058,34.08403361344538,631589.2799998411,243944.33600000013,631589.2799998411,197260.79999988314,0.0,0.0,21.662746285567323,25.9227,29.3329,57.3757,24.8459,336.7272,1.6426,1.2902,1.2902,5.087,1.2718,330.3501,1.6518,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,100,32990.2723,1.5672,52976.9916,2.5166,85967.2638,4.0838,9590.8115,0.962,134741.0914,13.5147,144331.9029,14.4766,7.424,29800,19787,0,9970,0,43,0,5510,5119,21867,12659,2423,2009,66.3993288590604,510447.3799999839,170950.9599999999,510447.3799999839,125820.85000006742,0.0,0.0,7.408006872411798,29.2317,31.9962,63.4624,26.9036,343.4182,3.2706,1.4466,1.4466,5.7408,1.4352,336.2308,3.3623,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,120,36471.2001,1.8283,64162.8334,3.2165,100634.0336,5.0448,17752.1843,1.0452,343986.7355,20.2524,361738.9197,21.2976,12.5192,35700,18661,0,16985,0,54,0,6505,5846,26118,10253,3077,2562,52.27170868347339,649587.7119999772,229007.1679999998,649587.7119999772,146676.95000002664,0.0,0.0,8.070477648559788,32.2695,36.5075,71.0106,30.0584,416.4956,3.332,1.7829,1.7829,6.9134,1.7283,407.7993,3.3983,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,140,35892.222,2.0029,58441.3816,3.2612,94333.6036,5.2642,28518.4737,1.1478,791563.3452,31.8575,820081.8188,33.0053,21.3813,41700,16771,0,24847,0,82,0,7654,6756,29931,6596,4115,3419,40.21822541966427,726209.1519999694,273384.54000000004,726209.1519999694,152644.70000000545,0.0,0.0,9.307996401705733,33.1638,37.389,74.7935,31.1311,472.0006,3.2552,1.9607,1.9607,7.8768,1.9692,462.1631,3.3012,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,160,32237.1911,2.0679,40188.3725,2.578,72425.5636,4.6459,47219.4402,1.4334,1981643.3503,60.1537,2028862.7905,61.5871,43.297,47600,14561,0,32943,0,96,0,8460,6920,33614,3192,5526,4449,30.590336134453782,815258.6759999519,328988.7760000001,815258.6759999519,156872.54999999568,0.0,0.0,11.368696965410436,36.3407,37.4824,75.683,34.6895,542.9362,3.2905,2.2223,2.2223,9.0025,2.2506,531.7114,3.3232,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,180,32075.4982,2.1064,34200.0567,2.2459,66275.5549,4.3522,56536.1206,1.4423,3383198.8549,86.3105,3439734.9755,87.7528,64.4179,53600,14293,0,39198,0,109,0,9497,7194,37503,1758,6600,5341,26.666044776119403,963746.1839999318,404155.7119999984,963746.1839999318,165967.0499999629,0.0,0.0,12.074065878429748,35.0302,40.1089,79.273,33.3445,601.6643,3.2522,2.5167,2.5167,9.9479,2.487,589.1997,3.2733,0,0,0,-1.0,[],[]
ALL,RANDOM_GOOD,200,35404.4912,2.1259,32150.1611,1.9305,67554.6523,4.0564,68057.4035,1.5584,5377679.437,123.1379,5445736.8405,124.6963,91.3916,59500,15673,0,43672,0,155,0,10175,7346,40854,1350,8471,6977,26.341176470588234,1109663.7599999171,471545.83200000104,1109663.7599999171,183223.79999992746,0.0,0.0,13.079217945840764,37.1563,40.3805,83.1532,35.5962,672.9311,3.2826,2.6609,2.6609,11.0067,2.7517,659.2634,3.2963,0,0,0,-1.0,[],[]
ALL,LOCAL,100,37220.4713,1.733,733.8321,0.0342,37954.3033,1.7671,109994.2572,13.5062,1806943.4005,221.8742,1916937.6577,235.3804,65.9946,29800,21616,0,8144,0,40,0,0,0,0,0,29800,21616,72.53691275167785,13594.940000000732,0.0,13594.940000000732,52963.95000001256,0.0,0.0,46.18959060651859,55.4114,0,0,60.029,228.5063,2.1763,0,0,0,0,228.5063,2.2851,0,0,0,-1.0,[],[]
ALL,LOCAL,120,42989.2216,1.6757,2823.7201,0.1101,45812.9417,1.7858,138395.8808,13.5099,2266104.0384,221.2128,2404499.9191,234.7228,68.2576,35700,25388,0,10244,0,68,0,0,0,0,0,35700,25388,71.11484593837535,16116.148000001127,0.0,16116.148000001127,70903.1500000264,0.0,0.0,49.60552598234293,55.3815,0,0,59.2274,281.2482,2.25,0,0,0,0,281.2482,2.3437,0,0,0,-1.0,[],[]
ALL,LOCAL,140,58302.9692,1.9154,2091.4716,0.0687,60394.4408,1.9841,145091.1424,13.9538,2902414.4823,279.132,3047505.6247,293.0857,76.105,41700,31227,0,10398,0,75,0,0,0,0,0,41700,31227,74.88489208633094,25233.412000002743,0.0,25233.412000002743,91996.45000004445,0.0,0.0,44.402487772649245,58.2986,0,0,61.7687,332.9692,2.2963,0,0,0,0,332.9692,2.3784,0,0,0,-1.0,[],[]
ALL,LOCAL,160,68598.1839,1.9548,3004.6307,0.0856,71602.8146,2.0404,176807.5117,14.4533,3142189.9171,256.8618,3318997.4288,271.3151,71.645,47600,35301,0,12233,0,66,0,0,0,0,0,47600,35301,74.16176470588235,24927.896000003475,0.0,24927.896000003475,94455.40000005698,0.0,0.0,44.84884710203092,60.33,0,0,63.4722,372.6163,2.2583,0,0,0,0,372.6163,2.3289,0,0,0,-1.0,[],[]
ALL,LOCAL,180,66660.4046,1.7664,2184.4107,0.0579,68844.8153,1.8243,215848.4023,13.3141,3730096.5165,230.0824,3945944.9188,243.3966,74.4169,53600,37281,5,16212,0,102,0,0,0,0,0,53595,37281,69.55410447761194,24347.420000003523,0.0,24347.420000003523,96618.85000005903,0.0,0.0,42.953575585842444,59.5929,0,0,62.3518,409.3942,2.2129,0,0,0,0,409.3942,2.2744,0,0,0,-1.0,[],[]
ALL,LOCAL,200,80573.4296,1.8525,1356.3997,0.0312,81929.8293,1.8837,211405.5305,13.8282,3489464.1379,228.2486,3700869.6684,242.0768,64.3519,59500,44137,0,15288,0,75,0,0,0,0,0,59500,44137,74.17983193277311,33115.68400000573,0.0,33115.68400000573,117388.05000008014,0.0,0.0,41.465923764423316,59.1304,0,0,61.5942,468.1529,2.2837,0,0,0,0,468.1529,2.3408,0,0,0,-1.0,[],[]
ALL,CLOSEST,100,34886.4074,1.8233,1823.671,0.0953,36710.0784,1.9186,119448.3621,11.3836,2340553.5846,223.0586,2460001.9468,234.4422,84.2715,29800,19271,0,10493,0,36,0,0,0,0,0,29800,19271,64.66778523489933,18204.856000002095,0.0,18204.856000002095,67259.00000002363,0.0,0.0,47.15091993988023,57.5282,0,0,62.3223,230.2772,2.1931,0,0,0,0,230.2772,2.3028,0,0,0,-1.0,[],[]
ALL,CLOSEST,120,37821.574,1.7737,2040.6394,0.0957,39862.2134,1.8694,148642.9837,10.1242,3178132.3468,216.4645,3326775.3305,226.5887,93.5047,35700,20961,24,14682,0,33,0,0,0,0,0,35676,20961,58.714285714285715,22034.188000002192,0.0,22034.188000002192,85105.75000003564,0.0,0.0,45.9400876773133,57.7178,0,0,61.7259,262.8244,2.1026,0,0,0,0,262.8244,2.1902,0,0,0,-1.0,[],[]
ALL,CLOSEST,140,50508.6444,2.0981,3621.2244,0.1504,54129.8688,2.2485,181791.411,10.3156,3182071.1148,180.5635,3363862.5258,190.8791,81.9721,41700,24033,0,17623,0,44,0,0,0,0,0,41700,24033,57.63309352517986,21641.892000003925,0.0,21641.892000003925,77630.2500000439,0.0,0.0,46.76177335082684,62.3998,0,0,66.1141,301.2907,2.0779,0,0,0,0,301.2907,2.1521,0,0,0,-1.0,[],[]
