Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,PYTHON_NEURAL_NET,100,47720.5455,1.1856,4111.3121,0.1021,51831.8575,1.2877,2903.1477,0.9463,318.0354,0.1037,3221.1831,1.0499,1.2709,42000,38555,369,3068,0,8,0,12993,11886,13793,12895,14845,13774,91.79761904761905,29055.826358972856,14205.157128205225,29055.826358972856,192205.09999994695,0.0,0.0,248.27333959405266,28.5245,14.3897,6.7143,30.2141,3692132.5911,35163.1675,3.4339,3.4339,5.4435,1.3609,3692123.7137,36921.2371,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,200,82491.3406,1.0566,32360.2731,0.4145,114851.6138,1.4712,12651.8798,1.4028,17528.3089,1.9435,30180.1887,3.3463,1.6653,84000,74717,238,9019,0,26,0,25769,21785,12816,12439,45177,40493,88.94880952380953,133934.3817435651,76375.36143589404,133934.3817435651,427244.5999995025,0.0,0.0,461.94463677940735,28.7355,37.9556,13.0674,29.181,8695604.3652,42417.5823,9.5242,9.5242,11.3828,2.8457,8695583.4582,43477.9173,0,0,0,-1.0,[],[]
