Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Tasks total time (s),Average total time (s),Tasks wasted execution delay (s),Average wasted execution delay (s),Tasks wasted waiting time (s),Average wasted waiting time (s),Tasks wasted total time (s),Average wasted total time (s),Average real total time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Tasks success rate,Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,PYTHON_NEURAL_NET,100,63061.7313,1.6807,2901.8927,0.0773,65963.624,1.758,5018.2613,1.1897,519.0334,0.1231,5537.2946,1.3128,1.713,42000,35217,2521,4218,0,44,0,7507,6764,12132,10990,19840,17463,83.85,18085.336512821923,7798.867897436016,18085.336512821923,161255.69999998418,0.0,0.0,526.1579582529481,37.4907,8.6244,3.8382,40.2153,2068186.8702,19697.0178,2.0799,2.0799,2.8929,0.7232,2068181.8974,20681.819,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,200,175368.6702,2.2586,3193.6006,0.0411,178562.2708,2.2997,14557.8153,1.5805,14373.3514,1.5605,28931.1667,3.1409,2.3889,84000,73235,1462,9211,0,92,0,8606,7389,28545,25688,45387,40158,87.18452380952381,23682.079282053684,10821.86820512825,23682.079282053684,340909.8499993739,0.0,0.0,524.2214641048865,49.6776,6.1537,4.298,51.5529,1770455.185,8636.3668,1.4596,1.4596,2.7976,0.6994,1770450.9278,8852.2546,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,300,187793.912,1.5533,14049.3258,0.1162,201843.2378,1.6695,20974.4184,1.7921,67272.973,5.7479,88247.3914,7.5399,2.1877,126000,114101,88,11704,0,107,0,31245,27707,50812,46505,43855,39889,90.55634920634921,83427.41323076848,34406.723384616496,83427.41323076848,648538.5500000763,0.0,0.0,358.3191463172804,13.4905,4.1167,5.0468,13.7302,7508452.2403,24617.8762,2.8437,2.8437,15.2103,3.8026,7508434.1863,25028.114,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,400,200297.2054,1.2829,28002.7863,0.1794,228299.9917,1.4622,42382.9477,2.2018,216792.4745,11.2625,259175.4221,13.4644,2.7795,168000,148530,119,19249,0,102,0,52812,48388,62259,57631,52810,42511,88.41071428571429,135959.80697428997,52471.23558974382,135959.80697428997,873786.650002161,0.0,0.0,311.10078004363265,30.2174,15.2924,17.2112,30.4964,9226988.0674,22782.6866,3.3122,3.3122,18.8743,4.7186,9226965.8809,23067.4147,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,500,338652.2026,1.7442,36950.0643,0.1903,375602.2668,1.9345,58393.7628,2.2658,22442.8079,0.8708,80836.5707,3.1366,2.0753,210000,184023,15,25772,0,190,0,61843,58548,68794,64400,79348,61075,87.63,161695.29497422883,59456.96420512751,161695.29497422883,1078675.000004364,0.0,0.0,355.19805709446274,54.215,22.0787,20.546,54.771,7671017.363,15190.1334,3.1027,3.1027,15.3429,3.8357,7670998.9174,15341.9978,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,600,289506.5426,1.2531,42683.747,0.1847,332190.2896,1.4378,61071.1256,1.8717,1806.7788,0.0554,62877.9045,1.9271,1.4984,252000,219162,0,32628,0,210,0,75052,71438,83567,75533,93381,72191,86.96904761904761,199240.75476907488,77914.40738461721,199240.75476907488,1318954.8500069233,0.0,0.0,360.76366610996325,45.0469,25.1972,19.0178,45.3912,6786126.079,11216.7373,3.339,3.339,12.9794,3.2449,6786109.7605,11310.1829,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,700,372824.492,1.3759,40025.7018,0.1477,412850.1938,1.5236,68370.1176,1.8122,1498.9295,0.0397,69869.0471,1.852,1.5637,294000,255987,0,37727,0,286,0,71528,68501,93736,83373,128736,104113,87.07040816326531,225260.87815367838,103727.52276923257,225260.87815367838,1536585.1000095066,0.0,0.0,423.7277689893328,49.2977,26.1985,13.8067,49.6907,4727331.3032,6705.4345,3.8098,3.8098,7.5585,1.8896,4727319.9349,6753.3142,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,800,394209.5627,1.2727,60399.6347,0.195,454609.1974,1.4678,77196.5386,1.7713,3026.6759,0.0694,80223.2145,1.8407,1.5138,336000,292148,0,43582,0,270,0,97376,92209,104410,93033,134214,106906,86.94880952380953,293421.43056393,137543.5837948709,293421.43056393,1766832.450012136,0.0,0.0,385.2878374025826,45.8001,32.9657,15.9415,46.0757,5540590.498,6882.7211,4.4097,4.4097,8.9146,2.2287,5540577.1737,6925.7215,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,900,407770.3189,1.1761,78079.007,0.2252,485849.3259,1.4013,94343.9091,1.8593,3687.4284,0.0727,98031.3375,1.932,1.469,378000,326958,0,50741,0,301,0,110692,105955,113524,100520,153784,120483,86.4968253968254,368031.70676922036,174505.56153846165,368031.70676922036,1978756.3000146637,0.0,0.0,387.58376388140823,44.0264,37.4465,16.9838,44.2389,5986487.109,6614.9029,5.0038,5.0038,9.3929,2.3482,5986472.7123,6651.6363,0,0,0,-1.0,[],[]
ALL,PYTHON_NEURAL_NET,1000,489418.2501,1.2673,98953.0638,0.2562,588371.3139,1.5236,101313.3851,1.8296,5569.5828,0.1006,106882.9678,1.9302,1.5746,420000,364263,0,55374,0,363,0,124835,118633,129109,115217,166056,130413,86.72928571428571,457522.9307692875,215843.56123075885,457522.9307692875,2205409.9500121367,0.0,0.0,372.07007508126947,46.4432,41.8608,19.3663,46.6314,6762464.8431,6728.8207,5.5396,5.5396,10.7233,2.6808,6762448.5802,6762.4486,0,0,0,-1.0,[],[]
